nolines,lines
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.7887189642698014,-0.7897704152278803
-0.9653199237935426,-0.969370015575135
-1.2246182627919242,-1.2105049699927766
-6.143450358707324,-6.143373325004005
-5.862452024380766,-5.862464232633812
-5.446740311627488,-5.446758185275686
-5.073568671919084,-5.073731255608302
-4.588917260405628,-4.588755342957807
-4.197813832990135,-4.198199558317889
-3.933602764021689,-3.9336810629939873
-3.694561724121156,-3.6944537784213036
-3.3816228981655767,-3.3817549492808907
-3.183973957881804,-3.1837299209681427
-2.9515335037633204,-2.951378652734286
-2.7832390031759306,-2.7834961757717003
-2.5887693690613376,-2.588840247723447
-2.457229105771732,-2.4572806583394597
-2.3219197928826136,-2.3216093370986837
-2.207115254894398,-2.2071589001434293
-2.0387827737775313,-2.038154434862384
-1.9946884175649002,-1.992806258296052
-1.9285340551739594,-1.9292122756081194
-1.862208940975775,-1.8615258233494543
-1.7488634515857142,-1.7492521516394917
-1.8427260017158527,-1.8443665477195346
-1.8278258595842307,-1.826871252935874
-1.756256386658903,-1.7565147302366717
-1.7849567588352275,-1.7859423813797106
-1.714142825260192,-1.7157618299902988
-1.7320611286482241,-1.7318641618635442
-1.6722634972894121,-1.6737118101374602
-1.6317463512723591,-1.6321851683940474
-1.6136945995250185,-1.6123584272287848
-1.5407030126893175,-1.5368351533551805
-1.4318195010751569,-1.4323851801929472
-1.4308446488406414,-1.4282478528895897
-1.4294063051029031,-1.4301459757671318
-1.3670987509439267,-1.3657369184444992
-1.297049660624145,-1.3003871469267414
-1.1908162760324619,-1.18938937861001
-1.1683481182971995,-1.1674620292881746
-1.084569000456298,-1.0863084760334434
-1.093819412585202,-1.094142091665204
-1.0861333184184039,-1.0847860832977996
-1.0517069346082422,-1.0510020895534595
-0.9961466346321767,-0.9998694838820006
-1.0216729006915806,-1.0237175242629744
