,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
0,COSMOS,DC21jyeo,1244336,148.62794007568,1.02052083098,59360.98320209,g,21.359,0.084,0.956,1107,1.116,1.24,2021-05-26 23:35:48.660576,151.1089337819433
1,COSMOS,DC21jyeo,1244619,148.62824815595,1.02049352211,59360.98445474,g,21.596,0.11,0.612,1108,1.115,1.24,2021-05-26 23:37:36.889536,150.56373528928316
2,COSMOS,DC21jvtr,1231065,148.39409524473,1.40721560308,59358.01150356,g,18.943,0.009,1.0,1059,1.169,1.31,2021-05-24 00:16:33.907584,143.2505189376084
3,COSMOS,DC21jvtr,1232660,148.39435842626,1.40730074747,59358.01278583,g,18.932,0.01,0.998,1060,1.185,1.31,2021-05-24 00:18:24.695712,142.81003080418733
4,COSMOS,DC21jvtr,1233917,148.39461823291,1.40736340556,59358.01405379,r,18.44,0.005,1.0,1061,0.985,1.32,2021-05-24 00:20:14.247456,142.3809966437726
5,COSMOS,DC21bcfau,3089222,148.46743959909,1.39256604887,59369.99532203,g,21.713,0.034,1.0,1421,0.946,1.38,2021-06-04 23:53:15.823392,138.0922269892342
6,COSMOS,DC21bcfau,3089081,148.46784271004,1.39251742088,59369.9965853,g,21.71,0.032,1.0,1422,0.917,1.39,2021-06-04 23:55:04.969920,137.7368967284727
7,COSMOS,DC21bcfau,3094437,148.46822329688,1.39246562879,59369.99784405,r,21.053,0.029,1.0,1423,0.934,1.4,2021-06-04 23:56:53.725920,137.38835022543236
8,COSMOS,DC21fmml,10047388,148.91476240237,0.79334427675,59319.04170857,i,21.204,0.037,1.0,2004,0.986,1.18,2021-04-15 01:00:03.620448,-177.8192904815065
9,COSMOS,DC21fmml,587061,148.91501098552,0.79371708873,59319.05192692,g,21.809,0.035,1.0,479,1.004,1.18,2021-04-15 01:14:46.485888,175.9905104088262
10,COSMOS,DC21fmml,578186,148.91503984167,0.79378422221,59319.05296139,r,21.278,0.024,1.0,480,0.879,1.18,2021-04-15 01:16:15.864096,175.3671131475714
11,COSMOS,DC21fmml,583338,148.91531501248,0.79423297327,59319.06498861,g,21.875,0.042,1.0,489,1.151,1.18,2021-04-15 01:33:35.015904,168.25482524003354
12,COSMOS,DC21jrzg,1210241,148.95295407297,0.80050237825,59355.9872859,g,21.12,0.06,0.872,1038,1.261,1.22,2021-05-21 23:41:41.501760,155.81712595463048
13,COSMOS,DC21jrzg,1212223,148.9531804239,0.80046751788,59355.98854063,g,21.156,0.061,0.909,1039,1.219,1.22,2021-05-21 23:43:29.910432,155.20901649155687
14,COSMOS,DC21fxgz,637465,148.6759473526,0.96483999998,59322.02199174,g,22.132,0.06,0.991,518,1.037,1.18,2021-04-18 00:31:40.086336,-171.34778022638673
15,COSMOS,DC21fxgz,639321,148.67594585985,0.9648436041,59322.02301609,r,21.562,0.035,1.0,519,0.933,1.18,2021-04-18 00:33:08.590176,-171.95099038569094
16,COSMOS,DC21fxgz,10057851,148.67596261368,0.9648251932,59322.02435085,i,21.453,0.041,1.0,2021,0.87,1.18,2021-04-18 00:35:03.913440,-172.74009289734525
17,COSMOS,DC21fxgz,641939,148.67588295112,0.96482412573,59322.03460867,g,22.145,0.057,1.0,527,1.0,1.18,2021-04-18 00:49:50.189088,-178.88741346951545
18,COSMOS,DC21fxgz,647168,148.67588187424,0.964800526,59322.03563456,r,21.635,0.036,1.0,528,0.937,1.18,2021-04-18 00:51:18.825984,-179.50659233874504
19,COSMOS,DC21fxgz,10060380,148.67585882193,0.96479547233,59322.03695933,i,21.493,0.04,1.0,2024,0.841,1.18,2021-04-18 00:53:13.286112,179.69362739880214
20,COSMOS,DC21fxgz,652215,148.67561148021,0.96469845827,59322.07044741,g,22.105,0.054,1.0,537,1.057,1.2,2021-04-18 01:41:26.656224,160.4195896649911
21,COSMOS,DC21fxgz,659818,148.67560207695,0.96467577019,59322.07147551,r,21.573,0.033,1.0,538,0.946,1.2,2021-04-18 01:42:55.484064,159.88231640980933
22,COSMOS,DC21fxgz,679423,148.67553633032,0.96463645074,59322.08305296,g,22.129,0.049,1.0,546,1.02,1.22,2021-04-18 01:59:35.775744,154.14593556532154
23,COSMOS,DC21fxgz,685377,148.67552780334,0.96461921818,59322.08407847,r,21.574,0.034,1.0,547,0.977,1.23,2021-04-18 02:01:04.379808,153.666633880438
24,COSMOS,DC21fkvk,570359,148.70792482659,0.96857845293,59319.06498861,g,22.108,0.05,1.0,489,1.151,1.18,2021-04-15 01:33:35.015904,167.98222286009357
25,COSMOS,DC21fkvk,578736,148.70790729268,0.96855314452,59319.06601045,r,21.595,0.035,0.989,490,1.015,1.18,2021-04-15 01:35:03.302880,167.3980236313143
26,COSMOS,DC21fkvk,10049919,148.70785679488,0.96856463793,59319.06736121,i,21.317,0.039,0.997,2010,0.889,1.19,2021-04-15 01:37:00.008544,166.63054438117717
27,COSMOS,DC21fkvk,595431,148.70756167012,0.96862072918,59319.07766795,g,22.055,0.045,1.0,498,1.094,1.2,2021-04-15 01:51:50.510880,160.9795893286041
28,COSMOS,DC21fkvk,599603,148.70752397885,0.96857183344,59319.0786915,r,21.448,0.031,1.0,499,0.989,1.2,2021-04-15 01:53:18.945600,160.44025541770142
29,COSMOS,DC21fkvk,10051771,148.70748780982,0.96857280493,59319.08002266,i,21.365,0.046,1.0,2013,1.07,1.2,2021-04-15 01:55:13.957824,159.7452791580356
30,COSMOS,DC21joys,1191712,148.94754562661,0.97674807725,59352.01203252,g,21.197,0.045,0.997,1018,1.333,1.25,2021-05-18 00:17:19.609728,149.6274615072947
31,COSMOS,DC21joys,1192412,148.94778029238,0.97668716947,59352.01329324,g,21.066,0.05,0.983,1019,1.398,1.25,2021-05-18 00:19:08.535936,149.09786471745707
32,COSMOS,DC21joys,1195805,148.94798409828,0.97666330708,59352.01454465,r,20.69,0.055,1.0,1020,1.374,1.26,2021-05-18 00:20:56.657760,148.57933252686993
33,COSMOS,DC21jrwh,1210113,148.87857639392,1.08145148646,59355.9872859,g,21.048,0.053,1.0,1038,1.261,1.22,2021-05-21 23:41:41.501760,155.88454983019346
34,COSMOS,DC21jrwh,1212008,148.87881070551,1.08144182278,59355.98854063,g,21.034,0.051,1.0,1039,1.219,1.22,2021-05-21 23:43:29.910432,155.28037618708285
35,COSMOS,DC21jsnh,1213286,148.96790900178,1.08072690475,59355.9872859,g,21.703,0.097,0.455,1038,1.261,1.22,2021-05-21 23:41:41.501760,156.0041692470435
36,COSMOS,DC21jsnh,1213956,148.96807514829,1.08072070642,59355.98854063,g,21.841,0.107,0.194,1039,1.219,1.22,2021-05-21 23:43:29.910432,155.39851799789494
37,COSMOS,DC21jsnh,1218204,148.9682534583,1.08067102212,59355.98979931,r,21.167,0.051,1.0,1040,1.058,1.22,2021-05-21 23:45:18.660384,154.79800741943146
38,COSMOS,DC21jsnh,1217565,148.96837759023,1.08065775024,59355.99093943,r,21.134,0.059,1.0,1041,1.23,1.23,2021-05-21 23:46:57.166752,154.26017093016918
39,COSMOS,DC21jyce,1246819,149.01670173719,0.94095728052,59360.98320209,g,19.134,0.01,1.0,1107,1.116,1.24,2021-05-26 23:35:48.660576,151.53148849819496
40,COSMOS,DC21jyce,1247223,149.0169925019,0.94091068744,59360.98445474,g,19.164,0.011,1.0,1108,1.115,1.24,2021-05-26 23:37:36.889536,150.97957464421768
41,COSMOS,DC21gnwt,724821,149.16281734353,1.04374292792,59328.990906,g,21.229,0.114,0.186,583,1.29,1.2,2021-04-24 23:46:54.278400,-163.79071364728085
42,COSMOS,DC21gnwt,726952,149.16281946838,1.04373780253,59328.99195968,r,20.384,0.038,1.0,584,1.235,1.2,2021-04-24 23:48:25.316352,-164.369756556987
43,COSMOS,DC21gnwt,729342,149.1627830028,1.04377922194,59329.00455848,g,21.038,0.085,0.991,592,1.188,1.18,2021-04-25 00:06:33.852672,-171.56141989974927
44,COSMOS,DC21gnwt,734112,149.16282495706,1.04379492585,59329.00558392,r,20.42,0.034,1.0,593,1.033,1.18,2021-04-25 00:08:02.450688,-172.16459658076636
45,COSMOS,DC21gnwt,740239,149.1628126534,1.04404904546,59329.04844264,g,21.35,0.112,0.33,602,1.091,1.2,2021-04-25 01:09:45.444096,162.71737152271248
46,COSMOS,DC21gnwt,743539,149.16281036933,1.04405720349,59329.04947984,r,20.583,0.036,1.0,603,0.891,1.2,2021-04-25 01:11:15.058176,162.15890111553125
47,COSMOS,DC21gnwt,747929,149.1627941775,1.04411977888,59329.06110184,g,21.507,0.124,0.301,611,1.002,1.22,2021-04-25 01:27:59.198976,156.19950836569495
48,COSMOS,DC21gnwt,750501,149.16280080955,1.04412443179,59329.06214615,r,20.702,0.04,1.0,612,0.884,1.22,2021-04-25 01:29:29.427360,155.69239520043953
49,COSMOS,DC21gdfx,673223,149.26188788523,0.96924980971,59322.07044741,g,20.977,0.018,1.0,537,1.057,1.2,2021-04-18 01:41:26.656224,161.27928154728284
50,COSMOS,DC21gdfx,677498,149.26186784954,0.96925992146,59322.07147551,r,20.307,0.01,1.0,538,0.946,1.2,2021-04-18 01:42:55.484064,160.73528632157937
51,COSMOS,DC21gdfx,10063332,149.2618208575,0.96928370083,59322.07280599,i,20.147,0.011,1.0,2027,0.867,1.2,2021-04-18 01:44:50.437536,160.03761527382795
