i, TIC_ID, RA, Dec, Year, Mon, Day, HR, Min, g_mags, TESS_mags, distance, SpT, mass, Prot, Ro, Evry_Erg, e_Evry_Erg, TESS_erg, e_TESS_Erg, evr_peakFF, tess_peakFF, n_peaks, tot_BB_data, e_tot_BB_data, tot_BB_data_trap, e_tot_BB_data_trap, E_tot_BB_data_trap, tot_BB_sampl, e_tot_BB_sampl, E_tot_BB_sampl, FWHM_BB_data, e_FWHM_BB_data, FWHM_BB_sampl, e_FWHM_BB_sampl, E_FWHM_BB_sampl, FWHM, impulse
0,294750180,71.04606,-70.32357,2018,10,20,5,36,11.452,8.924,21.05,M1,0.54,0.52553,0.016,34.66,33.31,34.44,32.28,7.24,0.65,2,14600,700,18600,600,600,23400,2600,3300,34000,2300,28300,3900,5300,5.616,1.2892
4,229807000,352.24016,-68.04278,2018,8,19,7,46,13.672,10.799,45.99,M2.5,0.355,0.37456,0.007,34.31,32.93,34.19,32.07,5.76,0.5,1,9200,700,12100,600,700,13000,700,800,15500,400,17500,800,900,6.336,0.9091
10,382043650,79.19114,-54.17134,2018,11,9,5,49,14.89,11.959,73.35,M3,0.29,6.12559,0.096,33.9,32.82,33.98,31.91,1.68,0.3,1,7800,300,7500,500,500,7600,500,500,15100,200,7900,300,300,12.096,0.1389
16,5796048,348.93249,-12.36365,2018,9,8,3,42,13.441,9.959,40.43,M2,0.42,0.5557,0.013,33.79,32.96,33.93,32.46,2.34,0.26,1,7100,1200,6900,700,700,6200,800,800,6900,200,5300,600,600,5.184,0.4514
17,339576478,359.1298,-58.30721,2018,8,17,7,35,13.421,11.454,119.25,M0.5,0.565,2.11342,0.067,35.04,34.13,34.93,32.85,1.56,0.34,3,9600,1300,11800,1700,2100,12300,700,800,18400,600,14500,700,800,16.272,0.0959
19,294750180,71.04606,-70.32357,2018,8,20,7,23,11.452,8.924,21.05,M1,0.54,0.52553,0.016,34.61,33.37,34.52,32.4,1.98,0.24,2,9900,500,11100,600,600,11600,800,900,14400,400,13600,900,1000,31.248,0.0634
25,220432563,73.43244,-58.60688,2019,2,8,1,11,14.334,11.3,30.22,M3,0.29,2.27389,0.036,32.98,32.5,33.21,31.08,1.75,0.21,2,8300,1000,6100,1100,1200,6900,500,500,7700,300,9700,400,400,9.216,0.1899
26,231017428,27.10908,-56.97818,2018,9,25,6,45,12.306,9.603,20.92,M1.5,0.48,-1.0,-1.0,33.48,32.38,33.42,31.28,2.29,0.21,2,12900,2200,10400,800,900,11800,900,1100,13400,800,10700,400,500,2.592,0.8835
32,316805931,355.24579,-31.16298,2018,8,28,4,53,12.264,10.32,50.23,M1,0.54,12.0937,0.365,34.69,33.82,34.39,32.21,1.38,0.18,3,31700,1400,32900,13400,17100,18800,4400,7700,43200,2500,48900,9600,1100,8.064,0.1711
43,339576478,359.1298,-58.30721,2018,9,9,1,42,13.421,11.454,119.25,M0.5,0.565,2.11342,0.067,34.63,33.64,34.6,32.48,0.87,0.16,3,8500,700,9600,1000,1200,9600,900,1000,14200,700,13200,600,600,5.904,0.1474
47,206327797,354.06615,-48.58354,2018,8,9,9,41,12.94,8.288,24.98,M3.5,0.245,0.111931,0.002,33.09,31.67,34.35,32.3,0.36,0.16,2,2300,0,2600,0,0,2600,0,0,2700,0,2800,0,0,12.816,0.0281
50,234506911,12.39867,-63.7949,2018,8,11,7,4,13.539,10.768,45.99,M1.7,0.456,4.92188,0.122,33.71,33.29,34.0,31.87,1.97,0.16,3,22600,1200,5600,1100,1200,7100,200,200,29200,2200,14800,600,600,5.184,0.38
70,220433364,73.37727,-55.8588,2018,8,26,9,48,11.377,8.255,11.09,M4,0.2,0.84891,0.01,33.22,32.07,33.33,31.12,1.57,0.13,2,5600,100,7300,400,400,6700,1500,1700,9200,100,9400,2500,3800,3.6,0.4361
76,231020638,27.73709,-58.73422,2018,9,17,6,33,14.202,11.154,45.28,M3,0.29,1.6398,0.026,33.48,32.76,33.41,31.36,1.54,0.13,1,12200,2100,10600,2100,2800,8800,700,800,29500,3200,15400,700,800,3.168,0.4861
101,207082763,331.97444,-37.07329,2018,8,22,6,7,13.83,10.809,33.62,M3,0.29,0.85055,0.013,33.07,32.87,33.01,30.91,2.51,0.1,1,17500,2400,10300,5200,14800,30800,3600,4700,11200,3300,50000,0,0,2.304,1.0894
102,220433364,73.37727,-55.8588,2018,11,3,2,35,11.377,8.255,11.09,M4,0.2,0.84891,0.01,33.26,31.84,33.4,31.1,1.19,0.1,1,5900,100,6900,200,200,6800,200,200,9400,100,12000,400,500,4.176,0.285
110,403237836,330.7271,-64.67895,2018,8,19,5,49,13.302,10.528,43.65,M1.8,0.444,0.4268,0.01,33.38,32.9,33.63,31.47,0.61,0.09,1,4900,600,5900,1400,1500,6300,1300,1500,8500,1100,8900,600,700,8.064,0.0756
120,231867117,6.0374,-62.18455,2018,8,16,1,20,11.921,9.743,40.54,M0,0.59,1.7498,0.059,34.39,33.82,34.18,33.61,0.54,0.09,2,24300,1100,16700,2000,2600,15700,7000,30400,19200,3300,19200,10200,30800,16.704,0.0323
134,220433364,73.37727,-55.8588,2018,11,29,5,51,11.377,8.255,11.09,M4,0.2,0.84891,0.01,32.88,31.82,32.57,30.77,0.77,0.08,1,9400,1600,35200,6500,10200,14300,600,600,12400,700,10200,400,400,3.024,0.2546
157,152475404,62.38477,-44.59428,2018,11,2,3,21,14.899,11.254,14.68,M4,0.2,-1.0,-1.0,32.33,31.56,31.91,29.67,1.49,0.05,1,33300,2000,50000,6300,0,50000,23300,0,39700,2000,19500,4800,8700,7.488,0.199
161,339576478,359.1298,-58.30721,2018,9,15,4,4,13.421,11.454,119.25,M0.5,0.565,2.11342,0.067,33.63,33.3,33.79,31.65,0.21,0.07,1,8700,1700,6700,1900,2300,7600,1600,1900,8300,900,7600,1000,1100,6.048,0.0347
167,156084049,11.36731,-51.62609,2018,9,15,2,45,12.57,9.888,41.11,M3,0.29,-1.0,-1.0,33.66,32.55,33.63,31.51,0.58,0.07,1,7800,900,9600,800,800,9400,600,700,10200,400,9700,300,300,6.192,0.0937
168,339576478,359.1298,-58.30721,2018,9,9,7,46,13.421,11.454,119.25,M0.5,0.565,2.11342,0.067,34.63,33.84,34.49,32.33,0.45,0.07,1,19000,1100,13200,3000,4600,14000,3300,5400,17500,2300,13400,1300,1500,14.544,0.0309
169,220539110,43.4454,-61.58846,2018,9,7,8,32,12.758,10.034,41.41,M3,0.29,0.7728,0.012,33.45,32.47,33.56,31.56,0.62,0.06,1,5500,200,7300,600,700,7400,300,400,11100,400,15500,800,800,3.6,0.1722
175,220433364,73.37727,-55.8588,2018,10,3,4,59,11.377,8.255,11.09,M4,0.2,0.84891,0.01,32.72,31.35,32.65,30.68,0.6,0.06,1,5600,200,10500,300,300,9200,300,300,10700,200,8300,300,300,3.024,0.1984
178,147085676,321.5739,-45.91343,2018,8,15,8,24,12.816,10.983,70.91,K9,0.603,0.40984,0.014,34.37,33.51,34.49,33.21,0.38,0.06,2,5900,400,7100,700,800,9100,1700,2200,25000,2600,19600,4200,7000,16.56,0.0229
233,201919099,40.63761,-57.66023,2018,10,5,8,23,11.546,9.712,49.64,K5,0.7,7.3734,0.309,34.3,33.08,34.54,32.3,0.13,0.04,2,4000,200,6000,200,200,7100,400,400,9700,200,8900,400,400,39.312,0.0033
290,140045538,329.42168,-51.00618,2018,8,22,0,6,11.284,8.231,14.85,M2,0.42,1.12375,0.026,33.16,32.49,33.18,31.0,0.35,0.04,3,12200,1000,8500,1300,1600,6500,800,800,10100,1700,9800,1100,1300,6.192,0.0565
346,392756613,327.2744,-72.1025,2018,8,5,7,18,10.182,7.154,16.53,M1,0.54,6.979,0.211,33.18,32.27,33.35,32.3,0.25,0.03,1,4500,200,6600,200,200,6600,800,900,6700,300,8800,1100,1200,4.176,0.0599
377,142086812,98.43032,-75.62999,2018,8,29,8,42,10.866,8.194,8.84,M2,0.42,-1.0,-1.0,32.66,31.9,32.51,30.78,0.3,0.03,1,16000,1600,13300,2700,3900,12600,2300,3300,13900,1100,12000,1400,1700,4.32,0.0694
379,140045538,329.42168,-51.00618,2018,7,29,7,58,11.284,8.231,14.85,M2,0.42,1.12375,0.026,33.07,32.26,33.0,30.66,0.44,0.03,1,17700,2500,10700,2300,3200,8100,1400,1700,8900,900,11300,1400,1800,3.6,0.1222
445,142086812,98.43032,-75.62999,2019,1,26,2,26,10.866,8.194,8.84,M2,0.42,-1.0,-1.0,32.67,31.72,32.62,30.94,0.18,0.03,1,13400,900,10000,1000,1100,6600,400,400,9800,500,8700,500,600,2.592,0.0694
482,441398770,310.4631,-32.4352,2018,8,12,1,57,10.177,7.396,6.01,M4.5,0.175,0.78347,0.008,32.76,32.01,32.75,31.73,0.42,0.02,3,9200,800,9200,1000,1100,9200,2800,4400,14500,3000,15800,5600,14200,3.312,0.1268
500,140045538,329.42168,-51.00618,2018,7,29,9,8,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.78,32.13,33.04,30.83,0.29,0.02,1,4300,400,5800,800,800,6500,600,700,7900,600,11800,1600,2000,4.608,0.0629
553,266998480,3.75991,-72.84244,2018,8,6,6,9,12.472,9.908,37.36,M1,0.54,1.290266,0.039,33.0,32.42,32.93,31.61,0.15,0.02,1,12100,1900,10600,3100,5100,9700,2500,3700,19900,2800,12500,2600,3800,7.632,0.0197
606,140045538,329.42168,-51.00618,2018,8,14,5,42,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.35,31.53,32.52,30.34,0.1,0.01,2,6900,1200,6600,600,600,6500,500,500,6600,400,8400,600,600,3.312,0.0302
608,293507177,351.54457,-73.39718,2018,8,9,5,14,12.449,10.115,46.23,M0,0.59,0.56975,0.019,33.27,32.45,33.29,30.9,0.18,0.01,1,7200,800,8500,1700,2100,8300,2800,4300,14100,1900,21400,3800,5700,6.192,0.0291
661,140045538,329.42168,-51.00618,2018,8,6,4,24,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.43,31.72,32.45,30.2,0.08,0.01,2,14500,2000,8500,1300,1600,6700,900,1000,9200,1000,9200,2000,2700,4.464,0.0179
674,140045538,329.42168,-51.00618,2018,8,14,2,52,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.19,31.37,32.59,30.37,0.09,0.01,3,3600,200,5000,400,400,4600,300,300,7500,500,8900,800,900,2.448,0.0368
688,140045538,329.42168,-51.00618,2018,8,10,4,46,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.51,31.87,32.62,30.5,0.08,0.01,2,11300,1500,7200,1000,1100,9000,800,900,9700,600,13800,2100,2700,8.064,0.0099
692,140045538,329.42168,-51.00618,2018,8,14,1,52,11.284,8.231,14.85,M2,0.42,1.12375,0.026,32.33,31.79,32.85,30.61,0.09,0.01,2,4000,200,4400,600,600,4300,300,300,7500,500,7900,700,800,4.032,0.0223
719,192543856,154.55769,-20.47809,2019,3,9,1,52,14.575,10.906,25.31,M4.5,0.175,7.402,0.078,32.77,32.06,33.2,31.18,0.6,0.14,2,8600,900,4800,400,400,4600,500,500,4300,100,3900,100,100,4.176,0.1437
721,201878287,39.13525,-59.46821,2018,9,2,8,43,15.154,11.154,10.06,M4.5,0.175,0.46937,0.005,32.03,31.15,32.2,30.02,3.57,0.14,2,8600,1100,6700,600,600,6200,200,200,12200,800,11000,500,500,3.456,1.033
769,388857263,217.429,-62.6795,2019,6,3,4,37,11.4,7.36,1.3,M5.5,0.135,83.0,0.744,31.2,30.31,31.25,29.79,0.4,0.02,2,10300,1200,8000,600,600,8600,800,900,8100,400,9400,1000,1100,9.504,0.0421
