i,T_abv_30K, T_abv_20K, T_abv_14K
0, 0.00272, 0.00509, 0.00878
4, 0.0, 0.0, 0.00203
10, 0.0, 0.0, 0.0
16, 0.0, 0.0, 0.0
17, 0.0, 0.0, 0.00416
19, 0.0, 0.00204, 0.00983
25, 0.0, 0.0, 0.0
26, 0.0, 0.0, 0.00104
32, 0.0, 0.00311, 0.00596
43, 0.0, 0.0, 0.00281
47, 0.0, 0.0, 0.0
50, 0.0, 0.00278, 0.00488
70, 0.0, 0.0, 0.0
76, 0.0, 0.0, 0.0
101, 0.0, 0.0, 0.0
102, 0.0, 0.0, 0.0
110, 0.0, 0.0, 0.0
120, 0.0, 0.00556, 0.00814
134, 0.0, 0.00139, 0.00278
157, 0.0, 0.0, 0.00139
161, 0.0, 0.0, 0.0
167, 0.0, 0.0, 0.0
168, 0.0, 0.0, 0.01335
169, 0.0, 0.0, 0.0
175, 0.0, 0.0, 0.0
178, 0.00139, 0.00659,0.00932
233, 0.0, 0.00139, 0.00278
290, 0.0, 0.0, 0.00139
346, 0.0, 0.0, 0.0
377, 0.0, 0.0, 0.00139
379, 0.0, 0.00139, 0.00139
445, 0.0, 0.0, 0.0
482, 0.0, 0.00139, 0.00278
500, 0.0, 0.0, 0.0
553, 0.0, 0.0, 0.0
606, 0.0, 0.0, 0.0
608, 0.0, 0.0, 0.00278
661, 0.0, 0.0, 0.0
674, 0.0, 0.0, 0.0
688, 0.0, 0.0, 0.0
692, 0.0, 0.0, 0.0
719, 0.0, 0.0, 0.0
721, 0.0, 0.0, 0.0
769, 0.0, 0.0, 0.0
