,,Inputs,,,,,Outputs,,
Observatory,UT Date,RA,Dec,Local Time,UT,LMST,HA,secz,PA
Kitt Peak,2021-03-21,14 15 40,19 10 56,0:00:00,7:00:00,11:30:00,-2 47,1.297,-62.6
Kitt Peak,2021-03-21,14 15 40,19 10 56,6:00:00,13:00:00,17:31:00,3 14,1.42,63.5
Kitt Peak,2021-03-21,2 41 39,89 15 51,0:00:00,7:00:00,11:30:00,8 20,1.91,54.7
Kitt Peak,2021-03-21,2 41 39,89 15 51,6:00:00,13:00:00,17:31:00,-9 39,1.918,-35
Kitt Peak,2021-09-23,14 15 40,19 10 56,0:00:00,7:00:00,23:43:00,9 26,(down),36.3
Kitt Peak,2021-09-23,14 15 40,19 10 56,6:00:00,13:00:00,5:44:00,-8 33,(down),-44.8
Kitt Peak,2021-09-23,2 41 39,89 15 51,0:00:00,7:00:00,23:43:00,-3 28,1.869,-127.8
Kitt Peak,2021-09-23,2 41 39,89 15 51,6:00:00,13:00:00,5:44:00,2 33,1.863,-141.4
Kitt Peak,2021-03-21,20 41 26,45 16 49,0:00:00,7:00:00,11:30:00,-9 13,(down),-34.6
Kitt Peak,2021-03-21,20 41 26,45 16 49,6:00:00,13:00:00,17:31:00,-3 12,1.288,-93
Palomar,2021-03-21,14 15 40,19 10 56,0:00:00,8:00:00,12:09:00,-2 08,1.177,-56.9
Palomar,2021-03-21,14 15 40,19 10 56,5:00:00,13:00:00,17:10:00,2 53,1.325,60.7
Palomar,2021-03-21,2 41 39,89 15 51,0:00:00,8:00:00,12:09:00,8 59,1.841,45
Palomar,2021-03-21,2 41 39,89 15 51,5:00:00,13:00:00,17:10:00,-10 00,1.846,-29.7
Palomar,2021-09-23,14 15 40,19 10 56,0:00:00,7:00:00,23:22:00,09 05,(down),38.8
Palomar,2021-09-23,14 15 40,19 10 56,6:00:00,13:00:00,5:23:00,-8 54,(down),-40.6
Palomar,2021-09-23,2 41 39,89 15 51,0:00:00,7:00:00,23:22:00,-3 49,1.802,-122.5
Palomar,2021-09-23,2 41 39,89 15 51,6:00:00,13:00:00,5:23:00,2 12,1.793,146.7
Palomar,2021-03-21,20 41 26,45 16 49,5:00:00,13:00:00,17:10:00,-3 33,1.345,-87.4
Cerro Tololo,2021-03-21,14 15 40,19 10 56,0:00:00,4:00:00,11:12:00,-3 04,2.485,-137.1
Cerro Tololo,2021-03-21,14 15 40,19 10 56,6:00:00,10:00:00,17:13:00,2 57,2.371,138.4
Cerro Tololo,2021-03-21,2 41 39,89 15 51,0:00:00,4:00:00,11:12:00,08 03,(down),120.3
Cerro Tololo,2021-03-21,2 41 39,89 15 51,6:00:00,10:00:00,17:13:00,-9 57,(down),-148.9
Cerro Tololo,2021-09-23,14 15 40,19 10 56,0:00:00,4:00:00,23:26:00,9 09,(down),114.5
Cerro Tololo,2021-09-23,14 15 40,19 10 56,6:00:00,10:00:00,5:27:00,-8 50,(down),-114
Cerro Tololo,2021-09-23,2 41 39,89 15 51,0:00:00,4:00:00,23:26:00,-3 45,(down),-124.1
Cerro Tololo,2021-09-23,2 41 39,89 15 51,6:00:00,10:00:00,5:27:00,2 16,(down),146.2
Cerro Tololo,2021-03-21,20 41 26,45 16 49,0:00:00,4:00:00,11:12:00,-9 30,(down),-104.3
Keck,2021-03-21,14 15 40,19 10 56,0:00:00,10:00:00,11:35:00,-2 42,1.271,-81.9
Keck,2021-03-21,14 15 40,19 10 56,6:00:00,16:00:00,17:36:00,3 19,1.459,80.4
Keck,2021-03-21,2 41 39,89 15 51,0:00:00,10:00:00,11:35:00,8 25,3.004,53.6
Keck,2021-03-21,2 41 39,89 15 51,6:00:00,16:00:00,17:36:00,-9 34,3.025,-36.3
Keck,2021-09-23,14 15 40,19 10 56,0:00:00,10:00:00,23:48:00,9 31,(down),45.1
Keck,2021-09-23,14 15 40,19 10 56,6:00:00,16:00:00,5:49:00,-8 28,(down),-56.1
Keck,2021-09-23,2 41 39,89 15 51,0:00:00,10:00:00,23:48:00,-3 23,2.891,-129.2
Keck,2021-09-23,2 41 39,89 15 51,6:00:00,16:00:00,5:49:00,2 38,2.879,140.2
Keck,2021-03-21,20 41 26,45 16 49,0:00:00,10:00:00,11:35:00,-9 07,(down),-41.5
Keck,2021-03-21,20 41 26,45 16 49,6:00:00,16:00:00,17:36:00,-3 06,1.438,-107.9
Apache Point,2021-03-21,14 15 40,19 10 56,0:00:00,7:00:00,11:53:00,-2 24,1.219,-59.6
Apache Point,2021-03-21,14 15 40,19 10 56,6:00:00,13:00:00,17:54:00,3 37,1.56,62.8
Apache Point,2021-03-21,2 41 39,89 15 51,0:00:00,7:00:00,11:53:00,8 43,1.869,48.9
Apache Point,2021-03-21,2 41 39,89 15 51,6:00:00,13:00:00,17:54:00,-9 16,1.872,-40.7
Apache Point,2021-09-23,14 15 40,19 10 56,0:00:00,6:00:00,23:06:00,8 49,(down),41.7
Apache Point,2021-09-23,14 15 40,19 10 56,6:00:00,12:00:00,5:07:00,-9 10,(down),-38.5
Apache Point,2021-09-23,2 41 39,89 15 51,0:00:00,6:00:00,23:06:00,-4 05,1.832,-118.5
Apache Point,2021-09-23,2 41 39,89 15 51,6:00:00,12:00:00,5:07:00,1 56,1.819,150.7
Apache Point,2021-03-21,20 41 26,45 16 49,0:00:00,7:00:00,11:53:00,-8 49,(down),-38.4
Apache Point,2021-03-21,20 41 26,45 16 49,6:00:00,13:00:00,17:54:00,-2 48,1.214,-96.4
